:::::END_GAME::::: 2021-07-17 02:01:38,008 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 02:01:38,008 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 02:01:38,009 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 02:01:38,009 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 02:02:08,362 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 02:02:09,161 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 02:02:09,162 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 02:02:09,162 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 02:02:09,162 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:34:05,336 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:34:36,555 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:34:37,414 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:34:37,414 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:34:37,414 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:34:37,414 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:34:48,605 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:34:49,447 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:34:49,447 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:34:49,447 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:34:49,447 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:35:04,692 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:35:05,550 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:35:05,550 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:35:05,550 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:35:05,550 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:37:04,633 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:37:06,036 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:37:06,036 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:37:06,037 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:37:06,037 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:37:16,906 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:37:17,966 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:37:17,967 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:37:17,968 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:37:17,968 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:38:48,976 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:38:50,260 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:38:50,261 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:38:50,261 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:38:50,261 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:38:59,343 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:39:00,396 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:39:00,397 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:39:00,398 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:39:00,398 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:39:11,127 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:39:12,134 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:39:12,134 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:39:12,135 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:39:12,135 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:39:19,516 - INFO - Arguments parsed
:::::END_GAME::::: 2021-07-17 13:39:20,592 - INFO - URL valid. Trying connect to host
:::::END_GAME::::: 2021-07-17 13:39:20,593 - INFO - Connection established
:::::END_GAME::::: 2021-07-17 13:39:20,593 - INFO - RESPONSE CODE: 200 - STATUS: OK
:::::END_GAME::::: 2021-07-17 13:39:20,594 - INFO - DATA collected sucessfully
:::::END_GAME::::: 2021-07-17 13:39:54,381 - INFO - Arguments parsed
